Grób,Barwa zewn.,Barwa wewn.,Faktura,Domieszka,Ornament,Uwagi,Grupa techn.,Masa [g],Iloœæ skorup,Uwagi2.0,guzki miseczkowate,linie ryte,guzki plastyczne,ornament choinkowy,odciski plecionki,otwory na powierzchni,do³ki paznokciowe,otwory pod wylewem,do³ki palcowe,ornament pseudosznurowy,listwy karbowane,listwy plastyczne,ornament stempelkowy,wciêcia w wylewach,ryte okrêgi,nak³uwanie
1,b,b,g,k,ornament sosenkowy; guzy plastyczne na brzuœcu,REKONSTRUOWANA - GIPS!,3a,1956,25,,,,1,1,,,,,,,,,,,,
1,b,b,g,0/k,-,czerpak,3a,88,5,,,,,,,,,,,,,,,,,
1,b,b,g,0/k,-,miseczka,3a,45,1,,,,,,,,,,,,,,,,,
2,b,b,g,0/k,-,-,3a,2080,12,,,,,,,,,,,,,,,,,
3,b,b,g,k,-,-,3a,2257,35,,,,,,,,,,,,,,,,,
4,b,b,g,0/k,kompozycja ornamentu choinkowego i guzów plastycznych na najw. wydêtoœci brzuœca,-,3a,2436,1,,,,1,1,,,,,,,,,,,,
5,b,b,g,k,-,-,3a,1800,55,,,,,,,,,,,,,,,,,
6,b,b,g,0/k,-,REKONSTRUOWANA - GIPS!,3a,1832,52,,,,,,,,,,,,,,,,,
7,b,b,g,k,-,-,3a,1127,26,,,,,,,,,,,,,,,,,
8,,,,,-,-,nan,,85,,,,,,,,,,,,,,,,,
9,b,b,g,k,-,GIPS,3a,2649,1,,,,,,,,,,,,,,,,,
10,b,b,g,g,kompozycja ornamentu pseudosznurowego i pionowych listewek plastycznych,-,3a,3422,76,,,,,,,,,,,1,,1,,,,
11,b,b,ch,k,guz plastyczny z wg³êbieniem; listewki karbowane; otwory pod wylewem; obmazywanie,-,3b,2970,50,,1,,,,,,,1,,,1,,,,,
12,b,b,g,0/k,"kompozycja pionowych i skoœnych linii rytych, ornamentu stempelkowego i poziomych linii rytych; otwory pod wylewem",GIPS,3a,2223,38,,,1,,,,,,1,,,,,1,,,
13,b,b,g,0/k,-,-,3a,3035,23,,,,,,,,,,,,,,,,,
14,b,b,g,0/k,-,-,3a,1486,36,,,,,,,,,,,,,,,,,
15,b,b,g,0/k,-,-,3a,1337,93,,,,,,,,,,,,,,,,,
16,b,b,g,0/k,-,-,3a,1428,20,,,,,,,,,,,,,,,,,
17,b,b,g,0/k,poziome listewki plastyczne,-,3a,1291,45,,,,,,,,,,,,,1,,,,
18,b,b,g,k,-,-,3a,1853,305,,,,,,,,,,,,,,,,,
19,b,b,g,k,grupy pionowych listewek plastycznych; otwory pod wylewem,-,3a,3004,105,,,,,,,,,1,,,,1,,,,
20,b,b,g,k,-,-,3a,1826,29,,,,,,,,,,,,,,,,,
21,b,b,ch,k,listwa karbowana; guzy plastyczne,-,3b,2373,71,,,,1,,,,,,,,1,,,,,
22,b,b,g,k,kompozycja linii rytych i poziomych listewek plastycznych,-,3a,914,61,,,1,,,,,,,,,,1,,,,
23,b,b,g,k,-,-,3a,2231,63,,,,,,,,,,,,,,,,,
24,b,b,g,k,-,-,3a,2809,127,,,,,,,,,,,,,,,,,
24,b,b,g,k,guzy na krawêdzi wylewu,misa,3a,707,18,,,,1,,,,,,,,,,,,,
25,b,b,g,k,-,-,3a,271,300,,,,,,,,,,,,,,,,,
25,b,b,g,k,-,misa,3a,605,37,,,,,,,,,,,,,,,,,
26,b,b,ch,k,-,naczynie miniaturowe; mo zliwe ¿e wymieszane z popielnic¹,3b,57,2,,,,,,,,,,,,,,,,,
26,b,b,ch,k,"kompozycja poziomych i skoœnych rzêdów do³ków paznokciowych, listewek karbowanych i guzów plastycznych; otwory pod wylewem",-,3b,2304,24,,,,1,,,,1,1,,,1,,,,,
27,b,b,g,k,poziome listewki plastyczne; otwory pod wylewem,-,3a,4183,300,,,,,,,,,1,,,,1,,,,
28,b,b,g,0/k,guzki plastyczne; ucha,-,3a,678,282,,,,1,,,,,,,,,,,,,
29,b,b,g,k,doodkolna plastyczna listwa z grupami pionowych listewek/ guzków ,-,3a,2008,38,,,,1,,,,,,,,,1,,,,
30,b,b,g,k,kompozycja linii rytych i poziomych listewek plastycznych,-,3a,3399,36,,,1,,,,,,,,,,1,,,,
31,b,b,g,k,-,-,3a,329,70,,,,,,,,,,,,,,,,,
31,b,b,g,k,guzy plastyczne,-,3a,3080,0,,,,1,,,,,,,,,,,,,
32,b,b,g,k,-,-,3a,576,27,,,,,,,,,,,,,,,,,
33,b,b,g,0/k,-,miseczka,3a,107,9,,,,,,,,,,,,,,,,,
33,b,b,ch,k,listwy plastyczne z do³kami paznokciowymi,-,3b,1090,15,,,,,,,,,,,,1,,,,,
34,b,b,g,"k, s?",-,-,3a,654,30,,,,,,,,,,,,,,,,,
35,b,b,g,0/k,-,-,3a,514,82,,,,,,,,,,,,,,,,,
35,b,b,g,0/k,guzy na krawêdzi wylewu,misa,3a,876,24,,,,1,,,,,,,,,,,,,
36,b,b,g,k,kompozycja poziomych i skoœnych linii ornamentu pseudosznurowego; dwa ucha,-,3a,1432,1,,,,,,,,,,,1,,,,,,
37,b,b,ch,k,otwory pod wylewem; do³ki paznokciowe,-,3b,2163,455,,,,,,,,1,1,,,,,,,,
38,b,b,ch,k,obmazywanie,-,3b,1618,155,,,,,,,,,,,,,,,,,
39,b,b,g,k,-,-,3a,2241,30,,,,,,,,,,,,,,,,,
40,b,b,g,k,-,misa,3a,615,14,,,,,,,,,,,,,,,,,
40,b,b,ch,k,otwory pod wylewem,-,3b,1871,11,,,,,,,,,1,,,,,,,,
40,b,b,ch,k,-,niezidentyfikowany,3b,24,0,,,,,,,,,,,,,,,,,
41,b,b,ch,k,pasma pionowych linii rytych; guzy miseczkowate; otwory pod wylewem; pasmo do³ków paznokciowych,popielnica,3b,1770,190,,1,1,,,,,1,1,,,,,,,,
42,b,b,g,k,-,GIPS,3a,3101,1,,,,,,,,,,,,,,,,,
43,b,b,g,0/k,-,miseczka,3a,119,4,,,,,,,,,,,,,,,,,
43,b,b,g,k,-,-,3a,2360,1,,,,,,,,,,,,,,,,,
44,b,b,g,0,-,czerpak,3a,126,10,,,,,,,,,,,,,,,,,
44,b,b,g,k,-,GIPS,3a,2215,43,,,,,,,,,,,,,,,,,
44,,,,,-,miseczka,nan,,0,,,,,,,,,,,,,,,,,
45,b,b,g,k,-,GIPS,3a,2652,36,,,,,,,,,,,,,,,,,
45,b,b,g,0/k,-,czerpak,3a,42,8,,,,,,,,,,,,,,,,,
45,b,b,g,0/k,-,miseczka; GIPS,3a,108,5,,,,,,,,,,,,,,,,,
46,b,b/c,g,0/k,-,miseczka,3a,96,9,,,,,,,,,,,,,,,,,
46,b,b,g,piasek?,-,GIPS,3a,1955,18,,,,,,,,,,,,,,,,,
47,b,b,g,0/k,kompozycja poziomych i skoœnych linii rytych i guzów plastycznych na najw. wydêtoœci brzuœca,-,3a,2281,1,,,1,1,,,,,,,,,,,,,
47,b,b,g,0/k,-,czerpak,3a,253,0,,,,,,,,,,,,,,,,,
47,b,b,g,k,wciêcie w wylewie,-,3a,1330,0,,,,,,,,,,,,,,,1,,
47,b,c,g,k,-,-,2a,907,0,,,,,,,,,,,,,,,,,
48,b,b,g,k,-,GIPS,3a,2927,39,,,,,,,,,,,,,,,,,
48,b,b,g,k,-,misa,3a,216,4,,,,,,,,,,,,,,,,,
49,b,b,g,0/k,-,miska; GIPS,3a,435,2,,,,,,,,,,,,,,,,,
49,b,b,g,k,-,GIPS,3a,881,92,,,,,,,,,,,,,,,,,
49,b,b,g,k,-,miseczka,3a,138,1,,,,,,,,,,,,,,,,,
50,b,b,g,k,-,misa,3a,149,4,,,,,,,,,,,,,,,,,
50,b,b,ch,k,"guzy plastyczne, w tym z wg³êbieniami; obmazywanie",-,3b,629,32,,1,,1,,,,,,,,,,,,,
51,b,b,g,0/k,-,wa¿enie bez sensu - du¿o GIPSU i koœci,3a,-,15,,,,,,,,,,,,,,,,,
52,b,b,g,0,-,wa¿enie bez sensu - wiêkszoœæ to GIPS,3a,-,16,,,,,,,,,,,,,,,,,
52,b,b,g,k,-,misa,3a,467,95,,,,,,,,,,,,,,,,,
53,b,b,g,0/k,pozioma i grupy skoœnych linii rytych; guzy plastyczne; wszystko na najw. wydêtoœci brzuœca,-,3a,2265,1,,,1,1,,,,,,,,,,,,,
53,b,b,g,0/k,grupy pionowych listewek,GIPS,3a,2797,0,,,,,,,,,,,,,1,,,,
54,b,b,g,k,-,GIPS,3a,2320,35,,,,,,,,,,,,,,,,,
55,b/c,b,g,k,-,-,3a,1772,207,,,,,,,,,,,,,,,,,
55,b,b,g,k,-,-,3a,105,9,,,,,,,,,,,,,,,,,
56,b,b/c,g,0,-,popielnica,3a,649,82,,,,,,,,,,,,,,,,,
56,b,b,g,k,-,misa,3a,73,9,,,,,,,,,,,,,,,,,
57,b,b,g,k,-,misa,3a,3640,28,,,,,,,,,,,,,,,,,
57,b,b/c,g,k,grupy plastycznych guzów na brzuœcu,popielnica; cannot tell the two apart,3a,,110,,,,1,,,,,,,,,,,,,
58,b,b,g,k,-,REKONSTRUOWANA - GIPS!,3a,3169,45,,,,,,,,,,,,,,,,,
58,b/c,b/c,g,k,-,misa,3a,1316,83,,,,,,,,,,,,,,,,,
59,b,b,g,0/k,otwory pod wylewem,misa,3a,818,13,,,,,,,,,1,,,,,,,,
59,b,b/c,g,k,-,popielnica,3a,3027,141,,,,,,,,,,,,,,,,,
60,b,b,g,k,poziome linie ryte; guzy plastyczne na najw. wydêtoœci brzuœca,-,3a,3914,43,,,1,1,,,,,,,,,,,,,
61,b,b,g,0/k,-,-,3a,1862,19,,,,,,,,,,,,,,,,,
62,b,b,g,k,-,-,3a,2823,41,,,,,,,,,,,,,,,,,
62,b,b,g,k,-,misa,3a,327,19,,,,,,,,,,,,,,,,,
63,b,b,ch,k,rz¹d do³ków paznokciowych; obmazywanie,-,3b,2326,95,,,,,,,,1,,,,,,,,,
64,b,b,g,k,-,-,3a,2020,77,,,,,,,,,,,,,,,,,
65,b,b,g,0,-,misa,3a,470,17,,,,,,,,,,,,,,,,,
65,b,b,ch,k,otwory pod wylewem; rz¹d do³ków paznokciowych; pionowe listewki plastyczne,-,3b,2595,95,,,,,,,,1,1,,,,1,,,,
66,b,b,ch,k,"guzy plastyczne, w tym z wg³êbieniami; rz¹d (dookolny) do³ków paznokciowych",-,3b,1047,35,,1,,1,,,,1,,,,,,,,,
67,b,b,ch,k,-,popielnica,3b,1889,120,,,,,,,,,,,,,,,,,
67,b,b,g,k,-,misa,3a,216,25,,,,,,,,,,,,,,,,,
68,b,b,ch,k,dookolna listwa karbowana; guzy miseczkowate; otwory pod wylewem,GIPS,3b,1895,1,,1,,,,,,,1,,,1,,,,,
69,b,b,g,0/k,otwory pod wylewem; grupy pionowych listewek plastycznych,brak mo¿liwoœci zwa¿enia - koœci luzem,3a,-,20,,,,,,,,,1,,,,1,,,,
69,b,b,g,0/k,-,? - brak w spisie,3a,29,0,,,,,,,,,,,,,,,,,
70,b,b,g,k,otwory pod wylewem; grupy pionowych listewek plastycznych ,-,3a,2332,23,,,,,,,,,1,,,,1,,,,
71,b,c,g,k,ornament pseudosznurowy; plastyczne guzy udaj¹ce ucha,-,2a,2216,173,,,,1,,,,,,,1,,,,,,
72,b,b,g,k,-,-,3a,3845,14,,,,,,,,,,,,,,,,,
73,c/b,b,g,k,-,popielnica,1,2580,160,,,,,,,,,,,,,,,,,
74,,,,,-,waza,nan,,65,,,,,,,,,,,,,,,,,
74,,,,,-,czerpak,nan,,3,,,,,,,,,,,,,,,,,
74,,,,,-,misa,nan,,40,,,,,,,,,,,,,,,,,
75,b,b,ch,k,-,popielnica,3b,233,21,,,,,,,,,,,,,,,,,
76,b,b,ch,k,guzy z miseczkowatymi wg³êbieniami; obmazywanie,-,3b,1975,33,,1,,,,,,,,,,,,,,,
77,b,b,g,k,"dookolna linia ryta, guzy plastyczne i grupy ukoœnych linii rytych na za³omie brzuœca",-,3a,2201,3,,,1,1,,,,,,,,,,,,,
78,b,b,ch,k,"do³ki paznokciowe, guzy plastyczne, otwory pod wylewem",REKONSTRUOWANA - GIPS!,3b,3428,37,,,,1,,,,1,1,,,,,,,,
79,b,b,g,k,-,-,3a,1888,47,,,,,,,,,,,,,,,,,
80,b,b,ch,k,-,-,3b,515,63,,,,,,,,,,,,,,,,,
81,b,b,ch,k,rz¹d do³ków paznokciowych; guzki plastyczne; otwory pod wylewem,-,3b,1573,52,,,,,,,,1,,,,,,,,,
82,b/c,b,g,k,-,-,3a,3310,110,,,,,,,,,,,,,,,,,
83,b/c,b,g,k,dookolna linia ryta,-,3a,1661,55,,,1,,,,,,,,,,,,,,
84,b,c/b,g,k,grupy plastycznych guzów na brzuœcu; ornament pseudosznurowy,-,2a,1835,85,,,,1,,,,,,,1,,,,,,
84,b,b,g,k,grupy plastycznych guzów na brzuœcu,-,3a,531,37,,,,1,,,,,,,,,,,,,
85,b,b,g,0/k,guzy plastyczne na najw. wydêtoœci brzuœca,-,3a,2039,47,,,,1,,,,,,,,,,,,,
86,b,b,g,0/k,guzy plastyczne na brzuœcu; ornament poziomych i ukoœnych linii rytych,-,3a,1863,130,,,1,1,,,,,,,,,,,,,
87,b,b,g,0/k,-,-,3a,3053,90,,,,,,,,,,,,,,,,,
88,b,b,g,k,guzki plastyczne na najw. wydêtoœci brzuœca,-,3a,2163,39,,,,1,,,,,,,,,,,,,
89,b,b,g,k,guzy plastyczne na za³omie brzuœca,REKONSTRUOWANA - GIPS!,3a,4195,23,,,,1,,,,,,,,,,,,,
90,b,b,g,k,otwory pod wylewem,-,3a,3709,9,,,,,,,,,1,,,,,,,,
91,b,b,g,0,-,czerpak,3a,66,1,,,,,,,,,,,,,,,,,
91,b/c,b,g,k,"kompozycja ornamentu choinkowego, poziomych linii rytych i grup pionowych listewek plastycznych; otwory pod wylewem",-,3a,2187,50,,,1,,1,,,,1,,,,1,,,,
92,b,b,g,0,"kompozycja poziomych, skoœnych i pionowych linii rytych; przek³ute pionowo guzy - ucha",GIPS,3a,1038,33,,,1,,,,,,,,,,,,,,
93,b,b,ch,k,-,-,3b,599,29,,,,,,,,,,,,,,,,,
94,b,b,g,k,-,-,3a,1401,54,,,,,,,,,,,,,,,,,
95,b,b,g,0,-,czerpak,3a,47,9,,,,,,,,,,,,,,,,,
95,b/c,b,ch,k,dookolna linia ryta; skoœne linie ryte,popielnica,3b,1712,190,,,1,,,,,,,,,,,,,,
96,b,b/c,g,k,-,-,3a,1024,25,,,,,,,,,,,,,,,,,
96,b,b,g,k,-,-,3a,2530,80,,,,,,,,,,,,,,,,,
97,b,b,g,0/k,-,-,3a,1972,80,,,,,,,,,,,,,,,,,
98,b,b,ch,k,otwory pod wylewem; pasmo do³ków paznokciowych; listewki plastyczne zdobione do³kami paznokciowymi,-,3b,3016,46,,,,,,,,1,1,,,1,,,,,
99,b,b,g,k,otwory i linie ryte pod wylewem,-,3a,1918,128,,,1,,,,,,1,,,,,,,,
99,b,b,g,0/k,-,miseczka,3a,36,1,,,,,,,,,,,,,,,,,
100,b,b,g,k,otwory pod wylewem; kompozycja linii rytych,-,3a,1280,91,,,1,,,,,,1,,,,,,,,
101,b,b,ch,k,obmazywanie,-,3b,1056,68,,,,,,,,,,,,,,,,,
102,b,b,g,k,-,-,3a,2658,97,,,,,,,,,,,,,,,,,
102,b,b,g,k/s?/r?,-,miseczka,3a,91,1,,,,,,,,,,,,,,,,,
103,b,b,ch,k,rz¹d do³ków paznokciowych; otwory pod wylewem,-,3b,3239,100,,,,,,,,1,1,,,,,,,,
104,b,b/c,g,k,ucho,misa; GIPS,3a,611,12,,,,,,,,,,,,,,,,,
104,b/c,b/c,g,k,-,-,3a,1361,3,,,,,,,,,,,,,,,,,
105,b,b,g,"k, s",-,-,3a,1444,95,,,,,,,,,,,,,,,,,
106,b,b,g,k,-,-,3a,3052,25,,,,,,,,,,,,,,,,,
107,b,b/c,ch,k,guzki miseczkowate; do³ki paznokciowe; otwory pod wylewem,-,3b,1672,170,,1,,,,,,1,1,,,,,,,,
108,b,b,g,k,otwory pod wylewem,-,3a,1367,270,,,,,,,,,1,,,,,,,,
109,b,b,ch,k,guzy z miseczkowatymi wg³êbieniami; obmazywanie; otwory pod wylewem,-,3b,1796,48,,1,,,,,,,1,,,,,,,,
110,b,b,g,k,guzy plastyczne,-,3a,1175,56,,,,1,,,,,,,,,,,,,
111,b,b,g,k,-,-,3a,2181,190,,,,,,,,,,,,,,,,,
112,b,b,g,k,kompozycja skoœnych listewek plastycznych i skoœnych linii rytych (po trzech stronach naczynia!),-,3a,2652,6,,,1,,,,,,,,,,1,,,,
112,b,b,g,k,grupy guzów na kraw. wylewu,misa,3a,593,29,,,,1,,,,,,,,,,,,,
113,b,c/b,g,k,wciêcie w wylewie,-,2a,1665,56,,,,,,,,,,,,,,,1,,
114,b,b,ch,k,otwory pod wylewem; listewki karbowane,-,3b,2395,82,,,,,,,,,1,,,1,,,,,
115,b,b,ch,"k, s",guzy z wg³êbieniami; do³ki paznokciowe; otwory pod wylewem,-,3b,1804,40,,1,,,,,,1,1,,,,,,,,
115,b,b,g,0,guzy na krawêdzi wylewu,naczynie na pustej nó¿ce; GIPS,3a,510,17,,,,1,,,,,,,,,,,,,
