Jama,Barwa zewn.,Barwa wewn.,Faktura,Domieszka,Ornament,Uwagi,Grupa techn.,guzki miseczkowate,linie ryte,guzki plastyczne,ornament choinkowy,odciski plecionki,otwory na powierzchni,do³ki paznokciowe,obmazywanie,otwory pod wylewem,do³ki palcowe,ornament pseudosznurowy,listwy karbowane,listwy plastyczne,ucha,inne/ nieokreœlone el. plastyczne,ornament stempelkowy,wciêcia w wylewach,ryte okrêgi,wyg³adzanie,nak³uwanie
2,b,b,g,0/k,"poziome linie ryte, guzki plastyczne",,3a,,1,1,,,,,,,,,,,,,,,,,
2,b,b,g,0/k,"choinkowy, poziome linie ryte",,3a,,1,,1,,,,,,,,,,,,,,,,
2,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
2,,,,,odcisk plecionki,talerz-placek,3c,,,,,1,,,,,,,,,,,,,,,
2,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
2,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
2,,,514694,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
2,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
2,b,b,ch,k+s,,,3b,,,,,,,,,,,,,,,,,,,,
2,b,c,g,k,,,2a,,,,,,,,,,,,,,,,,,,,
,,,,,,,nan,,,,,,,,,,,,,,,,,,,,
3,,,,,otwór na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
3,,,,,otwór na powierzchni,talerz-placek,3c,,,,,,1,,,,,,,,,,,,,,
3,b,b,g,k,wciêcie?,,3a,,,,,,,,,,,,,,,,,,,,
3,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
3,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
3,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
3,,,,,"otwory na powierzchni, do³ek paznokciowy",talerz-placek,3c,,,,,,1,1,,,,,,,,,,,,,
3,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
3,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
3,b,c,g,k,,fragm. dna,2a,,,,,,,,,,,,,,,,,,,,
3,b,b,ch,k,,dno,3b,,,,,,,,,,,,,,,,,,,,
3,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
3,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
3,b,c,g,k,,,2a,,,,,,,,,,,,,,,,,,,,
3,,,,,odcisk plecionki,talerz-placek,3c,,,,,1,,,,,,,,,,,,,,,
3,b,b,g,0/k,,,3a,,,,,,,,,,,,,,,,,,,,
3,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
3,b,c,g,k,,,2a,,,,,,,,,,,,,,,,,,,,
3,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
3,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
3,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
3,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
3,b,c,g,k,,,2a,,,,,,,,,,,,,,,,,,,,
3,b,b,ch,k,obmazywanie,,3b,,,,,,,,1,,,,,,,,,,,,
3,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
3,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
3,b,b,ch,k,,dno,3b,,,,,,,,,,,,,,,,,,,,
3,b,c,g,k,,,2a,,,,,,,,,,,,,,,,,,,,
3,b,c,g,k,,,2a,,,,,,,,,,,,,,,,,,,,
3,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
3,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
3,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
3,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
3,b,c,g,k,,,2a,,,,,,,,,,,,,,,,,,,,
3,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
3,b,b,g,k,,wylew,3a,,,,,,,,,,,,,,,,,,,,
3,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
3,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
3,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
3,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
3,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
3,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
3,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
3,b,b,g,0/k,,,3a,,,,,,,,,,,,,,,,,,,,
3,,,,,,talerz-placek,3c,,,,,,,,,,,,,,,,,,,,
3,b,b,g,k,,,3a,,,,,,,,,,,,,,,,,,,,
3,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
3,b,b,ch,k,,,3b,,,,,,,,,,,,,,,,,,,,
3,b,c,g,k,,,2a,,,,,,,,,,,,,,,,,,,,
