Jama,Grupa,Masa_[g]
2,2A,5
2,3A,9
2,3B,31
2,3C,188
2,?,11
,,
,,
,,
,,
,,
,,
3,2A,98
3,3A,81
3,3B,281
3,3C,513
3,?,64
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
4,2A,2
4,3A,4
4,3B,18
4,3C,99
4,4,7
4,?,14
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
6,1,22
6,2B,34
6,3A,233
6,3B,287
6,3C,399
6,4,9
6,?,69
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
7,3A,11
7,3B,101
7,3C,11
7,?,15
,,
,,
,,
,,
,,
,,
8,3B,43
8,?,7
,,
,,
,,
luz,2A,26
luz,3B,144
luz,3C,19
luz,?,27
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
9,1,12
9,2A,8
9,2B,287
9,3A,79
9,3B,86
9,3C,307
9,?,99
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
10,3B,218
,,
11,1,45
11,2A,83
11,2B,18
11,3A,61
11,3B,245
11,3C,54
11,?,9
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
12,2A,5
12,2B,35
12,3A,166
12,3B,74
12,3C,218
12,4,20
12,?,115
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
13,2A,2
13,2B,29
13,3A,380
13,3B,161
13,3C,558
13,4,5
13,?,121
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
